arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep14 step 0/348 loss 0.4309
  ep14 step 20/348 loss 0.3766
  ep14 step 40/348 loss 0.3763
  ep14 step 60/348 loss 0.3597
  ep14 step 80/348 loss 0.3534
  ep14 step 100/348 loss 0.3470
  ep14 step 120/348 loss 0.3487
  ep14 step 140/348 loss 0.3455
  ep14 step 160/348 loss 0.3441
  ep14 step 180/348 loss 0.3405
  ep14 step 200/348 loss 0.3413
  ep14 step 220/348 loss 0.3406
  ep14 step 240/348 loss 0.3365
  ep14 step 260/348 loss 0.3350
  ep14 step 280/348 loss 0.3346
  ep14 step 300/348 loss 0.3338
  ep14 step 320/348 loss 0.3329
  ep14 step 340/348 loss 0.3333
[grader] epoch 14/30 loss 0.3341 AUC(ref) 0.8951 QWK 0.7018 acc 0.5627 sens(g>=3) 0.7676
  ep15 step 0/348 loss 0.3766
  ep15 step 20/348 loss 0.3395
  ep15 step 40/348 loss 0.3509
  ep15 step 60/348 loss 0.3449
  ep15 step 80/348 loss 0.3513
  ep15 step 100/348 loss 0.3495
  ep15 step 120/348 loss 0.3472
  ep15 step 140/348 loss 0.3484
  ep15 step 160/348 loss 0.3485
  ep15 step 180/348 loss 0.3495
  ep15 step 200/348 loss 0.3460
  ep15 step 220/348 loss 0.3456
  ep15 step 240/348 loss 0.3429
  ep15 step 260/348 loss 0.3418
  ep15 step 280/348 loss 0.3399
  ep15 step 300/348 loss 0.3369
  ep15 step 320/348 loss 0.3372
  ep15 step 340/348 loss 0.3382
[grader] epoch 15/30 loss 0.3389 AUC(ref) 0.8952 QWK 0.7065 acc 0.5687 sens(g>=3) 0.7718
  ep16 step 0/348 loss 0.3023
  ep16 step 20/348 loss 0.3507
  ep16 step 40/348 loss 0.3526
  ep16 step 60/348 loss 0.3507
  ep16 step 80/348 loss 0.3415
  ep16 step 100/348 loss 0.3432
  ep16 step 120/348 loss 0.3454
  ep16 step 140/348 loss 0.3474
  ep16 step 160/348 loss 0.3454
  ep16 step 180/348 loss 0.3427
  ep16 step 200/348 loss 0.3377
  ep16 step 220/348 loss 0.3363
  ep16 step 240/348 loss 0.3351
  ep16 step 260/348 loss 0.3344
  ep16 step 280/348 loss 0.3330
  ep16 step 300/348 loss 0.3317
  ep16 step 320/348 loss 0.3312
  ep16 step 340/348 loss 0.3311
[grader] epoch 16/30 loss 0.3307 AUC(ref) 0.8954 QWK 0.7047 acc 0.5719 sens(g>=3) 0.7510
  ep17 step 0/348 loss 0.2393
  ep17 step 20/348 loss 0.3543
  ep17 step 40/348 loss 0.3475
  ep17 step 60/348 loss 0.3324
  ep17 step 80/348 loss 0.3287
  ep17 step 100/348 loss 0.3239
  ep17 step 120/348 loss 0.3246
  ep17 step 140/348 loss 0.3236
  ep17 step 160/348 loss 0.3204
  ep17 step 180/348 loss 0.3208
  ep17 step 200/348 loss 0.3219
  ep17 step 220/348 loss 0.3209
  ep17 step 240/348 loss 0.3235
  ep17 step 260/348 loss 0.3245
  ep17 step 280/348 loss 0.3269
  ep17 step 300/348 loss 0.3285
  ep17 step 320/348 loss 0.3285
  ep17 step 340/348 loss 0.3295
[grader] epoch 17/30 loss 0.3293 AUC(ref) 0.8957 QWK 0.7006 acc 0.5739 sens(g>=3) 0.7469
  ep18 step 0/348 loss 0.3801
  ep18 step 20/348 loss 0.3319
  ep18 step 40/348 loss 0.3412
  ep18 step 60/348 loss 0.3359
  ep18 step 80/348 loss 0.3306
  ep18 step 100/348 loss 0.3220
  ep18 step 120/348 loss 0.3197
  ep18 step 140/348 loss 0.3251
  ep18 step 160/348 loss 0.3228
  ep18 step 180/348 loss 0.3226
  ep18 step 200/348 loss 0.3232
  ep18 step 220/348 loss 0.3222
  ep18 step 240/348 loss 0.3239
  ep18 step 260/348 loss 0.3264
  ep18 step 280/348 loss 0.3253
  ep18 step 300/348 loss 0.3255
  ep18 step 320/348 loss 0.3252
  ep18 step 340/348 loss 0.3252
[grader] epoch 18/30 loss 0.3242 AUC(ref) 0.8949 QWK 0.6987 acc 0.5731 sens(g>=3) 0.7510
  ep19 step 0/348 loss 0.1980
  ep19 step 20/348 loss 0.3226
  ep19 step 40/348 loss 0.3238
  ep19 step 60/348 loss 0.3287
  ep19 step 80/348 loss 0.3283
  ep19 step 100/348 loss 0.3254
  ep19 step 120/348 loss 0.3230
  ep19 step 140/348 loss 0.3263
  ep19 step 160/348 loss 0.3236
  ep19 step 180/348 loss 0.3246
  ep19 step 200/348 loss 0.3263
  ep19 step 220/348 loss 0.3258
  ep19 step 240/348 loss 0.3277
  ep19 step 260/348 loss 0.3281
  ep19 step 280/348 loss 0.3281
  ep19 step 300/348 loss 0.3268
  ep19 step 320/348 loss 0.3279
  ep19 step 340/348 loss 0.3271
[grader] epoch 19/30 loss 0.3274 AUC(ref) 0.8950 QWK 0.7004 acc 0.5703 sens(g>=3) 0.7552
  ep20 step 0/348 loss 0.3279
  ep20 step 20/348 loss 0.3188
  ep20 step 40/348 loss 0.3141
  ep20 step 60/348 loss 0.3141
  ep20 step 80/348 loss 0.3106
  ep20 step 100/348 loss 0.3105
  ep20 step 120/348 loss 0.3117
  ep20 step 140/348 loss 0.3168
  ep20 step 160/348 loss 0.3173
  ep20 step 180/348 loss 0.3162
  ep20 step 200/348 loss 0.3179
  ep20 step 220/348 loss 0.3203
  ep20 step 240/348 loss 0.3205
  ep20 step 260/348 loss 0.3203
  ep20 step 280/348 loss 0.3211
  ep20 step 300/348 loss 0.3208
  ep20 step 320/348 loss 0.3204
