arm=cnn  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep24 step 160/348 loss 0.0402
  ep24 step 180/348 loss 0.0392
  ep24 step 200/348 loss 0.0395
  ep24 step 220/348 loss 0.0387
  ep24 step 240/348 loss 0.0402
  ep24 step 260/348 loss 0.0398
  ep24 step 280/348 loss 0.0387
  ep24 step 300/348 loss 0.0383
  ep24 step 320/348 loss 0.0376
  ep24 step 340/348 loss 0.0377
[grader] epoch 24/30 loss 0.0379 AUC(ref) 0.9538 QWK 0.8489 acc 0.7777 sens(g>=3) 0.8091
  ep25 step 0/348 loss 0.0037
  ep25 step 20/348 loss 0.0519
  ep25 step 40/348 loss 0.0466
  ep25 step 60/348 loss 0.0489
  ep25 step 80/348 loss 0.0430
  ep25 step 100/348 loss 0.0398
  ep25 step 120/348 loss 0.0411
  ep25 step 140/348 loss 0.0398
  ep25 step 160/348 loss 0.0390
  ep25 step 180/348 loss 0.0371
  ep25 step 200/348 loss 0.0377
  ep25 step 220/348 loss 0.0368
  ep25 step 240/348 loss 0.0354
  ep25 step 260/348 loss 0.0358
  ep25 step 280/348 loss 0.0362
  ep25 step 300/348 loss 0.0356
  ep25 step 320/348 loss 0.0352
  ep25 step 340/348 loss 0.0359
[grader] epoch 25/30 loss 0.0360 AUC(ref) 0.9537 QWK 0.8464 acc 0.7761 sens(g>=3) 0.8133
  ep26 step 0/348 loss 0.0610
  ep26 step 20/348 loss 0.0498
  ep26 step 40/348 loss 0.0464
  ep26 step 60/348 loss 0.0453
  ep26 step 80/348 loss 0.0426
  ep26 step 100/348 loss 0.0451
  ep26 step 120/348 loss 0.0444
  ep26 step 140/348 loss 0.0442
  ep26 step 160/348 loss 0.0450
  ep26 step 180/348 loss 0.0428
  ep26 step 200/348 loss 0.0413
  ep26 step 220/348 loss 0.0402
  ep26 step 240/348 loss 0.0408
  ep26 step 260/348 loss 0.0403
  ep26 step 280/348 loss 0.0400
  ep26 step 300/348 loss 0.0400
  ep26 step 320/348 loss 0.0389
  ep26 step 340/348 loss 0.0385
[grader] epoch 26/30 loss 0.0381 AUC(ref) 0.9532 QWK 0.8455 acc 0.7737 sens(g>=3) 0.8133
  ep27 step 0/348 loss 0.0135
  ep27 step 20/348 loss 0.0291
  ep27 step 40/348 loss 0.0298
  ep27 step 60/348 loss 0.0302
  ep27 step 80/348 loss 0.0316
  ep27 step 100/348 loss 0.0319
  ep27 step 120/348 loss 0.0331
  ep27 step 140/348 loss 0.0321
  ep27 step 160/348 loss 0.0326
  ep27 step 180/348 loss 0.0334
  ep27 step 200/348 loss 0.0333
  ep27 step 220/348 loss 0.0340
  ep27 step 240/348 loss 0.0347
  ep27 step 260/348 loss 0.0352
  ep27 step 280/348 loss 0.0349
  ep27 step 300/348 loss 0.0355
  ep27 step 320/348 loss 0.0350
  ep27 step 340/348 loss 0.0349
[grader] epoch 27/30 loss 0.0352 AUC(ref) 0.9534 QWK 0.8468 acc 0.7757 sens(g>=3) 0.8133
  ep28 step 0/348 loss 0.0189
  ep28 step 20/348 loss 0.0310
  ep28 step 40/348 loss 0.0335
  ep28 step 60/348 loss 0.0352
  ep28 step 80/348 loss 0.0374
  ep28 step 100/348 loss 0.0384
  ep28 step 120/348 loss 0.0382
  ep28 step 140/348 loss 0.0362
  ep28 step 160/348 loss 0.0353
  ep28 step 180/348 loss 0.0366
  ep28 step 200/348 loss 0.0355
  ep28 step 220/348 loss 0.0348
  ep28 step 240/348 loss 0.0347
  ep28 step 260/348 loss 0.0355
  ep28 step 280/348 loss 0.0351
  ep28 step 300/348 loss 0.0353
  ep28 step 320/348 loss 0.0361
  ep28 step 340/348 loss 0.0362
[grader] epoch 28/30 loss 0.0358 AUC(ref) 0.9535 QWK 0.8464 acc 0.7765 sens(g>=3) 0.8174
  ep29 step 0/348 loss 0.1304
  ep29 step 20/348 loss 0.0418
  ep29 step 40/348 loss 0.0390
  ep29 step 60/348 loss 0.0379
  ep29 step 80/348 loss 0.0402
  ep29 step 100/348 loss 0.0384
  ep29 step 120/348 loss 0.0403
  ep29 step 140/348 loss 0.0403
  ep29 step 160/348 loss 0.0396
  ep29 step 180/348 loss 0.0381
  ep29 step 200/348 loss 0.0400
  ep29 step 220/348 loss 0.0393
  ep29 step 240/348 loss 0.0382
  ep29 step 260/348 loss 0.0369
  ep29 step 280/348 loss 0.0357
  ep29 step 300/348 loss 0.0355
  ep29 step 320/348 loss 0.0349
  ep29 step 340/348 loss 0.0346
[grader] epoch 29/30 loss 0.0343 AUC(ref) 0.9539 QWK 0.8465 acc 0.7793 sens(g>=3) 0.8174
  ep30 step 0/348 loss 0.0045
  ep30 step 20/348 loss 0.0285
  ep30 step 40/348 loss 0.0375
  ep30 step 60/348 loss 0.0342
  ep30 step 80/348 loss 0.0344
  ep30 step 100/348 loss 0.0379
  ep30 step 120/348 loss 0.0356
  ep30 step 140/348 loss 0.0342
  ep30 step 160/348 loss 0.0345
  ep30 step 180/348 loss 0.0350
  ep30 step 200/348 loss 0.0336
  ep30 step 220/348 loss 0.0328
  ep30 step 240/348 loss 0.0343
  ep30 step 260/348 loss 0.0336
