arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep14 step 20/348 loss 0.4210
  ep14 step 40/348 loss 0.4198
  ep14 step 60/348 loss 0.4284
  ep14 step 80/348 loss 0.4347
  ep14 step 100/348 loss 0.4358
  ep14 step 120/348 loss 0.4366
  ep14 step 140/348 loss 0.4369
  ep14 step 160/348 loss 0.4389
  ep14 step 180/348 loss 0.4415
  ep14 step 200/348 loss 0.4396
  ep14 step 220/348 loss 0.4403
  ep14 step 240/348 loss 0.4419
  ep14 step 260/348 loss 0.4428
  ep14 step 280/348 loss 0.4420
  ep14 step 300/348 loss 0.4446
  ep14 step 320/348 loss 0.4427
  ep14 step 340/348 loss 0.4430
[grader] epoch 14/30 loss 0.4430 AUC(ref) 0.7935 QWK 0.5129 acc 0.3648 sens(g>=3) 0.7137
  ep15 step 0/348 loss 0.3149
  ep15 step 20/348 loss 0.3987
  ep15 step 40/348 loss 0.4210
  ep15 step 60/348 loss 0.4245
  ep15 step 80/348 loss 0.4334
  ep15 step 100/348 loss 0.4417
  ep15 step 120/348 loss 0.4383
  ep15 step 140/348 loss 0.4385
  ep15 step 160/348 loss 0.4424
  ep15 step 180/348 loss 0.4410
  ep15 step 200/348 loss 0.4423
  ep15 step 220/348 loss 0.4449
  ep15 step 240/348 loss 0.4422
  ep15 step 260/348 loss 0.4410
  ep15 step 280/348 loss 0.4420
  ep15 step 300/348 loss 0.4410
  ep15 step 320/348 loss 0.4420
  ep15 step 340/348 loss 0.4399
[grader] epoch 15/30 loss 0.4395 AUC(ref) 0.7939 QWK 0.5151 acc 0.3640 sens(g>=3) 0.7178
  ep16 step 0/348 loss 0.2922
  ep16 step 20/348 loss 0.4281
  ep16 step 40/348 loss 0.4388
  ep16 step 60/348 loss 0.4353
  ep16 step 80/348 loss 0.4318
  ep16 step 100/348 loss 0.4326
  ep16 step 120/348 loss 0.4317
  ep16 step 140/348 loss 0.4346
  ep16 step 160/348 loss 0.4303
  ep16 step 180/348 loss 0.4321
  ep16 step 200/348 loss 0.4307
  ep16 step 220/348 loss 0.4307
  ep16 step 240/348 loss 0.4307
  ep16 step 260/348 loss 0.4309
  ep16 step 280/348 loss 0.4322
  ep16 step 300/348 loss 0.4308
  ep16 step 320/348 loss 0.4329
  ep16 step 340/348 loss 0.4335
[grader] epoch 16/30 loss 0.4336 AUC(ref) 0.7945 QWK 0.5165 acc 0.3728 sens(g>=3) 0.7220
  ep17 step 0/348 loss 0.4048
  ep17 step 20/348 loss 0.4345
  ep17 step 40/348 loss 0.4373
  ep17 step 60/348 loss 0.4373
  ep17 step 80/348 loss 0.4450
  ep17 step 100/348 loss 0.4451
  ep17 step 120/348 loss 0.4398
  ep17 step 140/348 loss 0.4348
  ep17 step 160/348 loss 0.4372
  ep17 step 180/348 loss 0.4391
  ep17 step 200/348 loss 0.4418
  ep17 step 220/348 loss 0.4434
  ep17 step 240/348 loss 0.4423
  ep17 step 260/348 loss 0.4447
  ep17 step 280/348 loss 0.4451
  ep17 step 300/348 loss 0.4444
  ep17 step 320/348 loss 0.4442
  ep17 step 340/348 loss 0.4432
[grader] epoch 17/30 loss 0.4435 AUC(ref) 0.7954 QWK 0.5162 acc 0.3757 sens(g>=3) 0.7261
  ep18 step 0/348 loss 0.3853
  ep18 step 20/348 loss 0.4620
  ep18 step 40/348 loss 0.4628
  ep18 step 60/348 loss 0.4549
  ep18 step 80/348 loss 0.4481
  ep18 step 100/348 loss 0.4480
  ep18 step 120/348 loss 0.4483
  ep18 step 140/348 loss 0.4501
  ep18 step 160/348 loss 0.4458
  ep18 step 180/348 loss 0.4416
  ep18 step 200/348 loss 0.4440
  ep18 step 220/348 loss 0.4413
  ep18 step 240/348 loss 0.4416
  ep18 step 260/348 loss 0.4382
  ep18 step 280/348 loss 0.4375
  ep18 step 300/348 loss 0.4353
  ep18 step 320/348 loss 0.4367
  ep18 step 340/348 loss 0.4378
[grader] epoch 18/30 loss 0.4369 AUC(ref) 0.7959 QWK 0.5171 acc 0.3781 sens(g>=3) 0.7261
  ep19 step 0/348 loss 0.3445
  ep19 step 20/348 loss 0.4301
  ep19 step 40/348 loss 0.4352
  ep19 step 60/348 loss 0.4297
  ep19 step 80/348 loss 0.4219
  ep19 step 100/348 loss 0.4234
  ep19 step 120/348 loss 0.4213
  ep19 step 140/348 loss 0.4229
  ep19 step 160/348 loss 0.4229
  ep19 step 180/348 loss 0.4239
  ep19 step 200/348 loss 0.4234
  ep19 step 220/348 loss 0.4209
  ep19 step 240/348 loss 0.4191
  ep19 step 260/348 loss 0.4204
  ep19 step 280/348 loss 0.4211
  ep19 step 300/348 loss 0.4242
  ep19 step 320/348 loss 0.4265
  ep19 step 340/348 loss 0.4267
[grader] epoch 19/30 loss 0.4263 AUC(ref) 0.7963 QWK 0.5174 acc 0.3853 sens(g>=3) 0.7344
  ep20 step 0/348 loss 0.4182
  ep20 step 20/348 loss 0.3909
  ep20 step 40/348 loss 0.4050
  ep20 step 60/348 loss 0.4070
  ep20 step 80/348 loss 0.4155
  ep20 step 100/348 loss 0.4227
  ep20 step 120/348 loss 0.4213
  ep20 step 140/348 loss 0.4211
  ep20 step 160/348 loss 0.4211
  ep20 step 180/348 loss 0.4214
  ep20 step 200/348 loss 0.4236
  ep20 step 220/348 loss 0.4273
  ep20 step 240/348 loss 0.4293
  ep20 step 260/348 loss 0.4313
  ep20 step 280/348 loss 0.4299
  ep20 step 300/348 loss 0.4269
  ep20 step 320/348 loss 0.4275
  ep20 step 340/348 loss 0.4273
[grader] epoch 20/30 loss 0.4273 AUC(ref) 0.7970 QWK 0.5203 acc 0.3881 sens(g>=3) 0.7344
  ep21 step 0/348 loss 0.4589
  ep21 step 20/348 loss 0.4347
  ep21 step 40/348 loss 0.4474
  ep21 step 60/348 loss 0.4415
  ep21 step 80/348 loss 0.4442
  ep21 step 100/348 loss 0.4404
  ep21 step 120/348 loss 0.4317
  ep21 step 140/348 loss 0.4319
  ep21 step 160/348 loss 0.4283
  ep21 step 180/348 loss 0.4310
