arm=cnn  train 5941  val 1860  classes 5
grade distribution (train): [1840, 926, 1840, 415, 920]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:25.7%  1:18.2%  2:25.7%  3:12.2%  4:18.2%
  ep21 step 340/371 loss 0.0571
  ep21 step 360/371 loss 0.0564
[grader] epoch 21/30 loss 0.0564 AUC(ref) 0.9542 QWK 0.8565 acc 0.7591 sens(g>=3) 0.7799
  ep22 step 0/371 loss 0.0635
  ep22 step 20/371 loss 0.0522
  ep22 step 40/371 loss 0.0600
  ep22 step 60/371 loss 0.0568
  ep22 step 80/371 loss 0.0553
  ep22 step 100/371 loss 0.0528
  ep22 step 120/371 loss 0.0515
  ep22 step 140/371 loss 0.0496
  ep22 step 160/371 loss 0.0520
  ep22 step 180/371 loss 0.0521
  ep22 step 200/371 loss 0.0524
  ep22 step 220/371 loss 0.0511
  ep22 step 240/371 loss 0.0509
  ep22 step 260/371 loss 0.0518
  ep22 step 280/371 loss 0.0517
  ep22 step 300/371 loss 0.0508
  ep22 step 320/371 loss 0.0513
  ep22 step 340/371 loss 0.0512
  ep22 step 360/371 loss 0.0510
[grader] epoch 22/30 loss 0.0507 AUC(ref) 0.9540 QWK 0.8524 acc 0.7581 sens(g>=3) 0.7724
  ep23 step 0/371 loss 0.0242
  ep23 step 20/371 loss 0.0507
  ep23 step 40/371 loss 0.0507
  ep23 step 60/371 loss 0.0558
  ep23 step 80/371 loss 0.0554
  ep23 step 100/371 loss 0.0540
  ep23 step 120/371 loss 0.0535
  ep23 step 140/371 loss 0.0540
  ep23 step 160/371 loss 0.0509
  ep23 step 180/371 loss 0.0499
  ep23 step 200/371 loss 0.0500
  ep23 step 220/371 loss 0.0492
  ep23 step 240/371 loss 0.0497
  ep23 step 260/371 loss 0.0499
  ep23 step 280/371 loss 0.0498
  ep23 step 300/371 loss 0.0496
  ep23 step 320/371 loss 0.0502
  ep23 step 340/371 loss 0.0505
  ep23 step 360/371 loss 0.0509
[grader] epoch 23/30 loss 0.0514 AUC(ref) 0.9535 QWK 0.8508 acc 0.7591 sens(g>=3) 0.7724
  ep24 step 0/371 loss 0.0376
  ep24 step 20/371 loss 0.0481
  ep24 step 40/371 loss 0.0489
  ep24 step 60/371 loss 0.0485
  ep24 step 80/371 loss 0.0485
