Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep17 step 240/348 loss 0.0613
  ep17 step 260/348 loss 0.0606
  ep17 step 280/348 loss 0.0589
  ep17 step 300/348 loss 0.0592
  ep17 step 320/348 loss 0.0586
  ep17 step 340/348 loss 0.0583
[grader] epoch 17/30 loss 0.0584 AUC(ref) 0.9503 QWK 0.8403 acc 0.7677 sens(g>=3) 0.8174
  ep18 step 0/348 loss 0.0194
  ep18 step 20/348 loss 0.0415
  ep18 step 40/348 loss 0.0471
  ep18 step 60/348 loss 0.0401
  ep18 step 80/348 loss 0.0415
  ep18 step 100/348 loss 0.0421
  ep18 step 120/348 loss 0.0435
  ep18 step 140/348 loss 0.0462
  ep18 step 160/348 loss 0.0462
  ep18 step 180/348 loss 0.0468
  ep18 step 200/348 loss 0.0463
  ep18 step 220/348 loss 0.0474
  ep18 step 240/348 loss 0.0468
  ep18 step 260/348 loss 0.0480
  ep18 step 280/348 loss 0.0481
  ep18 step 300/348 loss 0.0481
  ep18 step 320/348 loss 0.0481
  ep18 step 340/348 loss 0.0472
[grader] epoch 18/30 loss 0.0472 AUC(ref) 0.9502 QWK 0.8391 acc 0.7701 sens(g>=3) 0.8174
  ep19 step 0/348 loss 0.0793
  ep19 step 20/348 loss 0.0633
  ep19 step 40/348 loss 0.0596
  ep19 step 60/348 loss 0.0525
  ep19 step 80/348 loss 0.0506
  ep19 step 100/348 loss 0.0491
  ep19 step 120/348 loss 0.0508
  ep19 step 140/348 loss 0.0513
  ep19 step 160/348 loss 0.0499
  ep19 step 180/348 loss 0.0485
  ep19 step 200/348 loss 0.0482
  ep19 step 220/348 loss 0.0483
  ep19 step 240/348 loss 0.0472
  ep19 step 260/348 loss 0.0460
  ep19 step 280/348 loss 0.0460
  ep19 step 300/348 loss 0.0474
  ep19 step 320/348 loss 0.0472
  ep19 step 340/348 loss 0.0467
