Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep25 step 280/348 loss 0.0390
  ep25 step 300/348 loss 0.0393
  ep25 step 320/348 loss 0.0385
  ep25 step 340/348 loss 0.0383
[grader] epoch 25/30 loss 0.0382 AUC(ref) 0.9517 QWK 0.8533 acc 0.7833 sens(g>=3) 0.8299
  ep26 step 0/348 loss 0.0121
  ep26 step 20/348 loss 0.0417
  ep26 step 40/348 loss 0.0438
  ep26 step 60/348 loss 0.0357
  ep26 step 80/348 loss 0.0342
  ep26 step 100/348 loss 0.0332
  ep26 step 120/348 loss 0.0332
  ep26 step 140/348 loss 0.0365
  ep26 step 160/348 loss 0.0356
  ep26 step 180/348 loss 0.0353
  ep26 step 200/348 loss 0.0338
  ep26 step 220/348 loss 0.0341
  ep26 step 240/348 loss 0.0342
  ep26 step 260/348 loss 0.0335
  ep26 step 280/348 loss 0.0331
  ep26 step 300/348 loss 0.0334
  ep26 step 320/348 loss 0.0331
  ep26 step 340/348 loss 0.0334
[grader] epoch 26/30 loss 0.0336 AUC(ref) 0.9523 QWK 0.8546 acc 0.7837 sens(g>=3) 0.8340
  ep27 step 0/348 loss 0.0993
  ep27 step 20/348 loss 0.0255
  ep27 step 40/348 loss 0.0337
  ep27 step 60/348 loss 0.0335
  ep27 step 80/348 loss 0.0314
  ep27 step 100/348 loss 0.0300
  ep27 step 120/348 loss 0.0329
  ep27 step 140/348 loss 0.0313
  ep27 step 160/348 loss 0.0312
  ep27 step 180/348 loss 0.0315
  ep27 step 200/348 loss 0.0326
  ep27 step 220/348 loss 0.0334
  ep27 step 240/348 loss 0.0339
  ep27 step 260/348 loss 0.0340
  ep27 step 280/348 loss 0.0347
  ep27 step 300/348 loss 0.0351
  ep27 step 320/348 loss 0.0353
  ep27 step 340/348 loss 0.0355
[grader] epoch 27/30 loss 0.0354 AUC(ref) 0.9524 QWK 0.8538 acc 0.7861 sens(g>=3) 0.8299
  ep28 step 0/348 loss 0.0039
  ep28 step 20/348 loss 0.0399
  ep28 step 40/348 loss 0.0370
  ep28 step 60/348 loss 0.0325
  ep28 step 80/348 loss 0.0329
  ep28 step 100/348 loss 0.0312
  ep28 step 120/348 loss 0.0321
  ep28 step 140/348 loss 0.0311
  ep28 step 160/348 loss 0.0330
  ep28 step 180/348 loss 0.0340
  ep28 step 200/348 loss 0.0336
  ep28 step 220/348 loss 0.0342
  ep28 step 240/348 loss 0.0348
  ep28 step 260/348 loss 0.0339
  ep28 step 280/348 loss 0.0343
  ep28 step 300/348 loss 0.0338
  ep28 step 320/348 loss 0.0338
  ep28 step 340/348 loss 0.0331
[grader] epoch 28/30 loss 0.0327 AUC(ref) 0.9521 QWK 0.8555 acc 0.7869 sens(g>=3) 0.8299
  ep29 step 0/348 loss 0.1226
  ep29 step 20/348 loss 0.0336
  ep29 step 40/348 loss 0.0312
  ep29 step 60/348 loss 0.0324
  ep29 step 80/348 loss 0.0315
  ep29 step 100/348 loss 0.0323
  ep29 step 120/348 loss 0.0319
  ep29 step 140/348 loss 0.0305
  ep29 step 160/348 loss 0.0315
  ep29 step 180/348 loss 0.0306
  ep29 step 200/348 loss 0.0326
  ep29 step 220/348 loss 0.0321
  ep29 step 240/348 loss 0.0323
  ep29 step 260/348 loss 0.0322
  ep29 step 280/348 loss 0.0323
  ep29 step 300/348 loss 0.0318
  ep29 step 320/348 loss 0.0326
  ep29 step 340/348 loss 0.0322
[grader] epoch 29/30 loss 0.0320 AUC(ref) 0.9517 QWK 0.8560 acc 0.7881 sens(g>=3) 0.8299
  ep30 step 0/348 loss 0.0433
  ep30 step 20/348 loss 0.0358
  ep30 step 40/348 loss 0.0295
  ep30 step 60/348 loss 0.0312
  ep30 step 80/348 loss 0.0328
  ep30 step 100/348 loss 0.0308
  ep30 step 120/348 loss 0.0298
  ep30 step 140/348 loss 0.0294
  ep30 step 160/348 loss 0.0310
  ep30 step 180/348 loss 0.0332
  ep30 step 200/348 loss 0.0383
  ep30 step 220/348 loss 0.0388
  ep30 step 240/348 loss 0.0381
  ep30 step 260/348 loss 0.0376
  ep30 step 280/348 loss 0.0368
  ep30 step 300/348 loss 0.0367
  ep30 step 320/348 loss 0.0357
  ep30 step 340/348 loss 0.0357
[grader] epoch 30/30 loss 0.0360 AUC(ref) 0.9513 QWK 0.8550 acc 0.7877 sens(g>=3) 0.8299

Best qwk 0.8560 at epoch 29 (53.0 min)
  at that epoch: AUC(ref) 0.9517  QWK 0.8560  sens(g>=3) 0.8299
  per-grade recall: 0:0.87  1:0.56  2:0.73  3:0.50  4:0.81
Checkpoint: outputs\grader_fusion_ddr\best.pt
