Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
[grader] epoch 14/30 loss 0.0921 AUC(ref) 0.9578 QWK 0.8566 acc 0.7793 sens(g>=3) 0.8257
  ep15 step 0/348 loss 0.0836
  ep15 step 20/348 loss 0.0986
  ep15 step 40/348 loss 0.0871
  ep15 step 60/348 loss 0.0796
  ep15 step 80/348 loss 0.0788
  ep15 step 100/348 loss 0.0794
  ep15 step 120/348 loss 0.0789
  ep15 step 140/348 loss 0.0772
  ep15 step 160/348 loss 0.0765
  ep15 step 180/348 loss 0.0779
  ep15 step 200/348 loss 0.0775
  ep15 step 220/348 loss 0.0764
  ep15 step 240/348 loss 0.0756
  ep15 step 260/348 loss 0.0760
  ep15 step 280/348 loss 0.0758
  ep15 step 300/348 loss 0.0761
  ep15 step 320/348 loss 0.0749
  ep15 step 340/348 loss 0.0757
[grader] epoch 15/30 loss 0.0757 AUC(ref) 0.9581 QWK 0.8584 acc 0.7837 sens(g>=3) 0.8257
  ep16 step 0/348 loss 0.0220
  ep16 step 20/348 loss 0.0699
  ep16 step 40/348 loss 0.0628
  ep16 step 60/348 loss 0.0712
  ep16 step 80/348 loss 0.0682
  ep16 step 100/348 loss 0.0721
  ep16 step 120/348 loss 0.0689
  ep16 step 140/348 loss 0.0730
  ep16 step 160/348 loss 0.0735
  ep16 step 180/348 loss 0.0740
  ep16 step 200/348 loss 0.0735
  ep16 step 220/348 loss 0.0739
  ep16 step 240/348 loss 0.0736
  ep16 step 260/348 loss 0.0729
  ep16 step 280/348 loss 0.0714
  ep16 step 300/348 loss 0.0704
  ep16 step 320/348 loss 0.0706
  ep16 step 340/348 loss 0.0709
[grader] epoch 16/30 loss 0.0706 AUC(ref) 0.9580 QWK 0.8564 acc 0.7821 sens(g>=3) 0.8133
  ep17 step 0/348 loss 0.0490
  ep17 step 20/348 loss 0.0955
  ep17 step 40/348 loss 0.0772
  ep17 step 60/348 loss 0.0718
  ep17 step 80/348 loss 0.0741
  ep17 step 100/348 loss 0.0707
  ep17 step 120/348 loss 0.0688
  ep17 step 140/348 loss 0.0671
  ep17 step 160/348 loss 0.0664
  ep17 step 180/348 loss 0.0664
  ep17 step 200/348 loss 0.0691
  ep17 step 220/348 loss 0.0701
  ep17 step 240/348 loss 0.0698
  ep17 step 260/348 loss 0.0681
  ep17 step 280/348 loss 0.0668
  ep17 step 300/348 loss 0.0657
  ep17 step 320/348 loss 0.0643
  ep17 step 340/348 loss 0.0646
[grader] epoch 17/30 loss 0.0642 AUC(ref) 0.9577 QWK 0.8523 acc 0.7797 sens(g>=3) 0.8091
  ep18 step 0/348 loss 0.0140
  ep18 step 20/348 loss 0.0449
  ep18 step 40/348 loss 0.0552
  ep18 step 60/348 loss 0.0573
